part,part_df,n_owner,owner_max_df,share,vs_owner
GHz,121,4,0,0.0007,0.0
사우스레이크제일차,121,1,0,0.0007,0.0
에이비엘,121,1,120,0.0007,1.01
곽신홀딩스,120,1,0,0.0007,0.0
김순,120,1,100,0.0007,1.2
농특세,120,1,0,0.0007,0.0
씨네플레이,120,1,0,0.0007,0.0
진양,120,1,0,0.0007,0.0
연회비,119,1,82,0.0007,1.45
요리,119,1,9,0.0007,13.22
탠저린,119,1,8,0.0007,14.88
파트너원밸류업,119,1,0,0.0007,0.0
에코에너지홀딩스,118,1,10,0.0007,11.8
LFA,117,1,0,0.0007,0.0
bf,117,1,0,0.0007,0.0
일진,117,1,27,0.0007,4.33
남서,116,1,13,0.0007,8.92
네이버핸즈,116,1,0,0.0007,0.0
포페이팅,116,1,0,0.0007,0.0
나이스선화제이차,115,1,0,0.0007,0.0
케이에스피,115,4,0,0.0007,0.0
WISH,114,1,62,0.0007,1.84
명예퇴직,114,1,44,0.0007,2.59
지에이치불당제일차,114,1,0,0.0007,0.0
현대엔진유,114,1,106,0.0007,1.08
CSC,113,1,0,0.0007,0.0
과학관,113,1,113,0.0007,1.0
도원동,113,1,113,0.0007,1.0
도준,113,1,23,0.0007,4.91
엠제이베스트제일차,113,1,0,0.0007,0.0
은평진관동피에프브이,113,1,75,0.0007,1.51
동민,112,1,61,0.0007,1.84
스무디,112,1,8,0.0007,14.0
신길,112,1,31,0.0007,3.61
코티코리아,112,1,0,0.0007,0.0
하나재현제일차,112,1,45,0.0007,2.49
한국비티엘,112,1,112,0.0007,1.0
한국오므론헬스케어,112,1,0,0.0007,0.0
그레이트평택고덕제일차,111,1,0,0.0006,0.0
무브,111,1,21,0.0006,5.29
서초테라스힐제일차,111,1,0,0.0006,0.0
여행자,111,1,0,0.0006,0.0
연소기,111,1,5,0.0006,22.2
유에스알릭스제일차,111,1,45,0.0006,2.47
제이디울산제일차,111,1,0,0.0006,0.0
한화로보틱스,111,1,16,0.0006,6.94
XVIII,110,1,0,0.0006,0.0
그레이트신광교제일차,110,1,0,0.0006,0.0
루미너스양주제일차,110,1,0,0.0006,0.0
비상금,110,3,24,0.0006,4.58
오클랜드,110,2,0,0.0006,0.0
카스타드제일차,110,1,0,0.0006,0.0
JPMorgan,109,1,0,0.0006,0.0
스마트피에프제일차,109,1,0,0.0006,0.0
에이치디씨현대산업개발,109,1,2,0.0006,54.5
트러스타,109,1,34,0.0006,3.21
광합성,108,1,82,0.0006,1.32
구입비,108,2,17,0.0006,6.35
상찬,108,1,108,0.0006,1.0
총재,108,4,0,0.0006,0.0
칼디아제일차,108,1,0,0.0006,0.0
Overdraft,107,1,0,0.0006,0.0
레이크루이스제일차,107,1,46,0.0006,2.33
케이비와이즈,107,1,65,0.0006,1.65
주아,106,1,0,0.0006,0.0
케이제이비제일차,106,1,0,0.0006,0.0
파운트,106,1,60,0.0006,1.77
하나보스턴코어제일차,106,1,39,0.0006,2.72
효성굿스프링스,106,1,0,0.0006,0.0
SRC,105,1,0,0.0006,0.0
녹차,105,1,4,0.0006,26.25
씨제이대한통운비엔디,105,1,0,0.0006,0.0
에스엘티장항중채제일차,105,1,0,0.0006,0.0
연료비,105,1,0,0.0006,0.0
가젤,104,1,17,0.0006,6.12
엠에스에너지제일차,104,1,0,0.0006,0.0
한국퓨얼셀,104,1,0,0.0006,0.0
해피빈,104,2,0,0.0006,0.0
효성에스티티지디씨,104,2,0,0.0006,0.0
금호석유화학,103,1,0,0.0006,0.0
노병,103,1,56,0.0006,1.84
더클래스,103,1,0,0.0006,0.0
제작비,103,1,32,0.0006,3.22
효성티앤에스,103,2,0,0.0006,0.0
모뎀,102,1,0,0.0006,0.0
하버시티개발,102,1,0,0.0006,0.0
한미글로벌,102,1,0,0.0006,0.0
현대아산,102,2,0,0.0006,0.0
Ainstein,101,1,0,0.0006,0.0
KTBN,101,6,6,0.0006,16.83
그레이트인덕원제일차,101,1,0,0.0006,0.0
변리사,101,1,0,0.0006,0.0
수입차,101,1,0,0.0006,0.0
심천세나과기,101,1,26,0.0006,3.88
엘아이지풍산프로테크,101,1,0,0.0006,0.0
자외선,101,1,0,0.0006,0.0
하나에스알디제일차,101,1,46,0.0006,2.2
하바나,101,1,8,0.0006,12.62
뉴스타에이케이제일차,100,1,0,0.0006,0.0
소란,100,1,0,0.0006,0.0
스틱유진스타,99,1,99,0.0006,1.0
실비,99,1,18,0.0006,5.5
이터널과천제일차,99,1,0,0.0006,0.0
하나보스턴코어제이차,99,1,39,0.0006,2.54
미쓰비시,98,1,31,0.0006,3.16
시티오씨엘,98,3,0,0.0006,0.0
위드지엠제칠차,98,1,45,0.0006,2.18
페이머스스튜디오,98,1,0,0.0006,0.0
히어로손해사정,98,1,1,0.0006,98.0
스템코,97,1,93,0.0006,1.04
씨앗,97,1,0,0.0006,0.0
장혁,97,1,21,0.0006,4.62
하나에이아이씨제일차,97,1,45,0.0006,2.16
광주신세계,96,1,0,0.0006,0.0
김문,96,1,35,0.0006,2.74
노브랜드옐로,96,1,0,0.0006,0.0
배움터,96,1,0,0.0006,0.0
십일번가,96,1,3,0.0006,32.0
엠디프라임제삼차,96,2,0,0.0006,0.0
엠에스위례제일차,96,1,0,0.0006,0.0
크래들스튜디오,96,1,0,0.0006,0.0
하나레지던스2호,96,1,45,0.0006,2.13
갤럭시아일렉트로닉스,95,1,0,0.0006,0.0
기타리스,95,2,51,0.0006,1.86
센타우르제일차,95,1,45,0.0006,2.11
수령액,95,1,15,0.0006,6.33
에이치글로벌파트너스,95,1,2,0.0006,47.5
여전사,95,1,0,0.0006,0.0
와이랩,95,1,0,0.0006,0.0
웍스모바일,95,1,0,0.0006,0.0
하나동래제이차,95,1,45,0.0006,2.11
하나동래제일차,95,1,45,0.0006,2.11
제이이와이,94,1,36,0.0005,2.61
하나장포제일차,94,1,45,0.0005,2.09
한화솔라파워,94,1,0,0.0005,0.0
TPP,93,1,0,0.0005,0.0
승강장,93,1,0,0.0005,0.0
엠에스탕정제일차,93,1,0,0.0005,0.0
준드래곤페어니스2호,93,1,45,0.0005,2.07
CBM,92,1,0,0.0005,0.0
비판,92,8,0,0.0005,0.0
하나검단제일차,92,1,46,0.0005,2.0
강희,91,1,36,0.0005,2.53
도강,91,1,22,0.0005,4.14
오에스와이제일차,91,1,0,0.0005,0.0
이봉,91,1,19,0.0005,4.79
레드실버제일차,90,1,0,0.0005,0.0
백수,90,1,28,0.0005,3.21
신한인도파이낸스,90,1,0,0.0005,0.0
알리미,90,1,51,0.0005,1.76
잉글리쉬,90,1,0,0.0005,0.0
제이부르크제육차,90,1,40,0.0005,2.25
한전원자력연료,90,1,0,0.0005,0.0
합금강,90,1,51,0.0005,1.76
라인스튜디오,89,1,0,0.0005,0.0
아산탕정제이차,89,1,0,0.0005,0.0
제임스,89,1,37,0.0005,2.41
그레이트대치제일차,88,1,0,0.0005,0.0
디케이프로젝트,88,1,0,0.0005,0.0
마운트아크로,88,1,0,0.0005,0.0
방위력,88,1,32,0.0005,2.75
삼성에피스홀딩스,88,1,0,0.0005,0.0
스마트논현제일차,88,1,0,0.0005,0.0
시그너스제이차,88,1,0,0.0005,0.0
지배자,88,1,68,0.0005,1.29
카탈리스트제이차,88,1,0,0.0005,0.0
케이에스엘제이차,88,1,0,0.0005,0.0
케이에스엘제일차,88,1,0,0.0005,0.0
클라스,88,1,36,0.0005,2.44
헤리스빌제일차,88,1,0,0.0005,0.0
MIP,87,1,0,0.0005,0.0
남이,87,1,77,0.0005,1.13
동두천,87,2,68,0.0005,1.28
엠디페트로제일차,87,2,0,0.0005,0.0
하나디에프제일차,87,1,40,0.0005,2.17
혈족,87,1,0,0.0005,0.0
IBKS,86,1,0,0.0005,0.0
나영,86,1,59,0.0005,1.46
디에스케이피에프브이,86,1,0,0.0005,0.0
미디어그로쓰캐피탈,86,1,0,0.0005,0.0
위클리옵션,86,1,86,0.0005,1.0
천진야밍,86,1,86,0.0005,1.0
커미티드,86,1,0,0.0005,0.0
나주관광개발,85,1,0,0.0005,0.0
신화인터텍,85,1,0,0.0005,0.0
하나고척제일차,85,1,40,0.0005,2.12
하이일드스톤,85,1,43,0.0005,1.98
그레이트엠디제일차,84,1,0,0.0005,0.0
사운디스트,83,1,83,0.0005,1.0
제이엠와이지,83,1,83,0.0005,1.0
XIX,82,1,0,0.0005,0.0
광자,82,1,60,0.0005,1.37
노원구,82,1,0,0.0005,0.0
드림제일차,82,1,28,0.0005,2.93
부근,82,1,28,0.0005,2.93
지오센트릭,82,1,77,0.0005,1.06
IWP,81,2,0,0.0005,0.0
고성하이,81,1,0,0.0005,0.0
동석물류,81,1,0,0.0005,0.0
디엔에이,81,1,0,0.0005,0.0
이충,81,1,23,0.0005,3.52
찬스,81,1,43,0.0005,1.88
하나개봉제일차,81,1,37,0.0005,2.19
해시드,81,2,16,0.0005,5.06
Shuaibah,80,1,0,0.0005,0.0
월차,80,1,34,0.0005,2.35
치킨,80,1,0,0.0005,0.0
KPS,79,1,0,0.0005,0.0
가미,79,1,0,0.0005,0.0
남수,79,2,33,0.0005,2.39
코스모조,79,1,79,0.0005,1.0
하나뉴욕파이낸셜,79,1,79,0.0005,1.0
공수표,78,1,78,0.0005,1.0
제이와이제이,78,1,55,0.0005,1.42
하나구로제일차,78,1,40,0.0005,1.95
MCS,76,1,0,0.0004,0.0
원메가원창제일차,76,1,40,0.0004,1.9
넷매니아,75,1,0,0.0004,0.0
뉴딜아이디씨제사차,75,1,37,0.0004,2.03
리부트,75,1,44,0.0004,1.7
보훈,75,1,0,0.0004,0.0
연습장,75,1,67,0.0004,1.12
예탁원,75,1,65,0.0004,1.15
검단나인원제일차,74,1,42,0.0004,1.76
비유동예수,74,1,0,0.0004,0.0
에스케이온,74,1,2,0.0004,37.0
하나씨케이제일차,74,1,43,0.0004,1.72
브이에스코너스톤,73,1,73,0.0004,1.0
쥐피에스,73,7,41,0.0004,1.78
효제피에프브이,73,1,55,0.0004,1.33
그리니치,72,1,72,0.0004,1.0
밸류스타제일차,72,1,0,0.0004,0.0
의령,72,1,0,0.0004,0.0
지티엑스비,72,1,0,0.0004,0.0
하나문탠제일차,71,1,39,0.0004,1.82
하나프로퍼티제일차,71,1,39,0.0004,1.82
KALAMATA,70,1,0,0.0004,0.0
덴버,70,1,51,0.0004,1.37
신세계그룹,70,1,0,0.0004,0.0
KDN,69,1,0,0.0004,0.0
뉴스타에이케이제이차,69,1,3,0.0004,23.0
아스톤리버제구차,69,1,0,0.0004,0.0
아테나,69,1,69,0.0004,1.0
연길기아기차유수복무,69,1,69,0.0004,1.0
교보라이프플래닛,68,1,5,0.0004,13.6
하나여의도제일차,68,1,40,0.0004,1.7
석종,67,1,22,0.0004,3.05
얀예빈,67,1,67,0.0004,1.0
태안솔라팜,67,1,0,0.0004,0.0
쉐프파트너,66,1,0,0.0004,0.0
플랜업테크노,66,1,3,0.0004,22.0
대구지방법원,65,1,24,0.0004,2.71
시화공단,65,1,65,0.0004,1.0
양산덕,65,1,0,0.0004,0.0
원종,65,1,22,0.0004,2.95
하나김포제일차,65,1,36,0.0004,1.81
디에이치피,64,1,64,0.0004,1.0
급료,63,1,0,0.0004,0.0
냉동식품,63,2,24,0.0004,2.62
농업회사법인그린투모로우,63,1,0,0.0004,0.0
라인플레이,63,1,0,0.0004,0.0
박봉,63,1,29,0.0004,2.17
아산배방개발,63,1,0,0.0004,0.0
아폴론,63,1,49,0.0004,1.29
타임로보틱스,63,1,63,0.0004,1.0
파워시스템즈엠에프지코리아,63,1,0,0.0004,0.0
한화기계,63,1,0,0.0004,0.0
호국,63,1,0,0.0004,0.0
Frying,62,1,0,0.0004,0.0
생산비,62,1,37,0.0004,1.68
Autohaus,61,1,0,0.0004,0.0
박제,61,1,17,0.0004,3.59
아산사회복지재단,61,1,0,0.0004,0.0
한현천진,61,1,61,0.0004,1.0
한호,61,1,21,0.0004,2.9
DDMC,60,1,0,0.0003,0.0
에스케이브로드밴드,60,1,18,0.0003,3.33
조신,60,1,22,0.0003,2.73
하나머스트,60,1,60,0.0003,1.0
미남,59,1,59,0.0003,1.0
브이엘타우브,59,1,59,0.0003,1.0
예부,59,1,0,0.0003,0.0
와이지메타버스,59,1,59,0.0003,1.0
김숙,58,1,22,0.0003,2.64
루비,58,1,27,0.0003,2.15
엘씨글로리제이차,58,1,0,0.0003,0.0
정선라임,58,1,0,0.0003,0.0
하나송북제일차,58,1,37,0.0003,1.57
한미네트웍스,58,1,0,0.0003,0.0
현신,58,1,58,0.0003,1.0
대석,57,1,45,0.0003,1.27
손호,57,1,20,0.0003,2.85
한미컴퍼니,57,1,0,0.0003,0.0
오션베츠제일차,56,1,37,0.0003,1.51
트렌스러핀,56,1,35,0.0003,1.6
Structured,55,1,0,0.0003,0.0
XXII,55,1,0,0.0003,0.0
굿체인지제일차,55,1,35,0.0003,1.57
뉴스타제이에이치,55,1,55,0.0003,1.0
매그너스,55,1,45,0.0003,1.22
비와이케이제삼차,55,1,42,0.0003,1.31
에스더블유알엔,55,1,55,0.0003,1.0
우경,55,1,21,0.0003,2.62
인천북항벌크터미널,55,1,0,0.0003,0.0
프레시플러스,55,1,0,0.0003,0.0
지웅,54,1,22,0.0003,2.45
공공요금,53,1,25,0.0003,2.12
상문,53,1,33,0.0003,1.61
중금속,53,1,0,0.0003,0.0
황태,53,1,35,0.0003,1.51
희열,53,1,24,0.0003,2.21
당진에코파워,52,1,0,0.0003,0.0
슈퍼랩스,52,1,0,0.0003,0.0
스타십벤딩머신,52,1,0,0.0003,0.0
에너루트,52,1,48,0.0003,1.08
게일인터내셔널코리아,51,1,1,0.0003,51.0
사택,51,1,0,0.0003,0.0
회전식,51,2,0,0.0003,0.0
도봉구,50,1,0,0.0003,0.0
수입품,50,1,13,0.0003,3.85
연호,50,1,20,0.0003,2.5
머플,49,1,0,0.0003,0.0
메디칼,49,1,0,0.0003,0.0
벨에포크오퍼튜니티M1,49,1,49,0.0003,1.0
수원컨벤션시티,49,1,0,0.0003,0.0
이앤신한뉴그로쓰,49,1,49,0.0003,1.0
군산항,48,1,0,0.0003,0.0
에스크로이체,48,1,24,0.0003,2.0
일람,48,2,35,0.0003,1.37
케이비이글스제일차,47,1,0,0.0003,0.0
디비에스,46,1,43,0.0003,1.07
매각익,46,1,0,0.0003,0.0
소바,46,1,0,0.0003,0.0
킹슬리,46,1,46,0.0003,1.0
효성비에이솔라,46,1,0,0.0003,0.0
효성지에스솔라,46,1,0,0.0003,0.0
효성지제이솔라,46,1,0,0.0003,0.0
Maxxsol,45,1,0,0.0003,0.0
srl,45,1,0,0.0003,0.0
저금통,45,1,21,0.0003,2.14
헤르메스,45,1,44,0.0003,1.02
연수비,44,1,0,0.0003,0.0
우리에스케이알제일차,44,1,42,0.0003,1.05
우리한숲제일차,44,1,44,0.0003,1.0
유로스탁스,44,1,44,0.0003,1.0
찬스리테일,44,1,18,0.0003,2.44
한양타임메자닌,44,1,44,0.0003,1.0
고석,43,1,36,0.0003,1.19
더하기,43,1,20,0.0003,2.15
에스피지제일차,43,1,18,0.0003,2.39
에이치이제일차,43,1,16,0.0003,2.69
우리에이치피제일차,43,1,43,0.0003,1.0
우리엘용산제일차,43,1,43,0.0003,1.0
우리큐에스제일차,43,1,41,0.0003,1.05
징검다리,43,1,0,0.0003,0.0
켑코,43,1,0,0.0003,0.0
국제컨벤션센터,42,1,0,0.0002,0.0
병선,42,1,29,0.0002,1.45
신한비스킷제일차,42,1,30,0.0002,1.4
신한에코,42,1,0,0.0002,0.0
슬로박,41,1,38,0.0002,1.08
아케이드,41,1,14,0.0002,2.93
테라파워,41,1,8,0.0002,5.12
백송,40,1,21,0.0002,1.9
성룡,40,1,40,0.0002,1.0
애즈워드홀딩스,40,1,0,0.0002,0.0
엠에스티케이제일차,40,1,0,0.0002,0.0
엠에스피엠씨제일차,40,1,0,0.0002,0.0
오션이앤아이,40,1,2,0.0002,20.0
우리에이치씨제오차,40,1,40,0.0002,1.0
유티씨스포츠,40,1,40,0.0002,1.0
토폴로,40,1,0,0.0002,0.0
하나벤처스1호,40,1,40,0.0002,1.0
OpenAPI,39,1,24,0.0002,1.62
Xl,39,1,0,0.0002,0.0
다이나믹스,39,1,29,0.0002,1.34
비유동상,39,1,14,0.0002,2.79
우리오시리아제일차,39,1,13,0.0002,3.0
우리이에스지제일차,39,1,15,0.0002,2.6
월드컵대교,39,1,0,0.0002,0.0
출납,39,1,21,0.0002,1.86
HDA,38,1,0,0.0002,0.0
VAPCO,38,1,0,0.0002,0.0
골드뱅킹,38,1,18,0.0002,2.11
그린바이오제삼차,38,1,0,0.0002,0.0
리치게이트신반포,38,1,0,0.0002,0.0
봉기,38,1,22,0.0002,1.73
서울문산고속도로,38,1,0,0.0002,0.0
수도권서부고속도로,38,1,0,0.0002,0.0
에코에너지솔루션,38,1,0,0.0002,0.0
와이지포레스트,38,1,38,0.0002,1.0
우리에이치오제일차,38,1,12,0.0002,3.17
우리파크원제일차,38,1,37,0.0002,1.03
카페스,38,1,0,0.0002,0.0
FMS,37,1,0,0.0002,0.0
SECTION,37,1,0,0.0002,0.0
kiwi,37,10,32,0.0002,1.16
엠에이파주운정,37,1,0,0.0002,0.0
제영차,37,1,37,0.0002,1.0
한국사료협회,37,1,0,0.0002,0.0
KRWUSD,36,1,0,0.0002,0.0
安心,36,1,0,0.0002,0.0
와이지펀더멘탈,36,1,36,0.0002,1.0
우리롯데동탄제일차,36,1,36,0.0002,1.0
최헌,36,1,22,0.0002,1.64
투게더론,36,1,24,0.0002,1.5
KRWEUR,35,1,0,0.0002,0.0
리브디에스제일차,35,1,0,0.0002,0.0
에스더블유에스,35,1,3,0.0002,11.67
지원비,35,2,34,0.0002,1.03
EURKRW,34,1,0,0.0002,0.0
UBAF,34,1,34,0.0002,1.0
USDKRW,34,2,0,0.0002,0.0
와이지솔루션,34,1,34,0.0002,1.0
진주뿌리산단개발,34,1,0,0.0002,0.0
NewEnergy,33,2,0,0.0002,0.0
마이원한강,33,1,3,0.0002,11.0
마중,33,1,33,0.0002,1.0
OCISE,32,1,0,0.0002,0.0
교제비,32,1,0,0.0002,0.0
엠에스중림제삼차,32,1,0,0.0002,0.0
우리미래제일차,32,1,9,0.0002,3.56
지아이비서리풀,32,1,0,0.0002,0.0
우리에이치알제이차,31,1,13,0.0002,2.38
우리큐에스제이차,31,1,13,0.0002,2.38
하나제일호,31,1,31,0.0002,1.0
남인천방송,30,1,0,0.0002,0.0
에프에스케이엘앤에스,30,1,0,0.0002,0.0
타우루스제일차,30,1,0,0.0002,0.0
하나벤처스3호,30,1,18,0.0002,1.67
우리라데나제일차,29,1,29,0.0002,1.0
지아이비알비제일차,29,1,0,0.0002,0.0
케이알씨,29,1,0,0.0002,0.0
하나벤처스2호,29,1,14,0.0002,2.07
cf,28,1,0,0.0002,0.0
건설업자,28,1,0,0.0002,0.0
관중,28,1,20,0.0002,1.4
수출품,28,1,23,0.0002,1.22
우리에이치알제일차,28,1,12,0.0002,2.33
EASY,27,1,0,0.0002,0.0
에스타이거엘이씨,27,1,0,0.0002,0.0
우리유진제일차,27,1,10,0.0002,2.7
우리티에스제일차,27,1,25,0.0002,1.08
전월세,27,1,0,0.0002,0.0
하나마이크론제삼차,27,1,0,0.0002,0.0
헷지위원회,27,1,27,0.0002,1.0
현대엠파트너스,27,1,0,0.0002,0.0
Bismayah,26,1,0,0.0002,0.0
Gram,26,1,0,0.0002,0.0
가르다제일차,26,1,14,0.0002,1.86
팍세,26,1,0,0.0002,0.0
하나은행뉴욕지점,26,1,26,0.0002,1.0
마이핏,25,1,23,0.0001,1.09
에스브라이트제일차,25,1,0,0.0001,0.0
주권양수도,25,1,0,0.0001,0.0
AUDKRW,24,1,0,0.0001,0.0
CDCU,24,1,0,0.0001,0.0
GBPKRW,24,1,0,0.0001,0.0
기프티콘,24,1,0,0.0001,0.0
메디팜론,24,1,0,0.0001,0.0
사과나무,24,1,24,0.0001,1.0
샤시도메인제어기,24,1,0,0.0001,0.0
양길,24,1,24,0.0001,1.0
에스브라이트엘디씨,24,1,0,0.0001,0.0
에스타이거무보,24,1,0,0.0001,0.0
에스타이거에이치디,24,1,0,0.0001,0.0
유훈,24,1,24,0.0001,1.0
합숙소,24,1,0,0.0001,0.0
PtyLtd,23,1,0,0.0001,0.0
당진송악,23,1,23,0.0001,1.0
리치게이트남서울,23,1,0,0.0001,0.0
애프터서비스,23,1,23,0.0001,1.0
에스솔루션피엠,23,1,0,0.0001,0.0
오토넥스,23,1,23,0.0001,1.0
사잇돌중금리,22,1,0,0.0001,0.0
전희,22,1,22,0.0001,1.0
케이비그레이트29,22,1,0,0.0001,0.0
코셉머티리얼,22,1,0,0.0001,0.0
코스포영남파워,22,1,0,0.0001,0.0
보스포러스인베스트먼트,21,1,0,0.0001,0.0
Pebbles,20,1,0,0.0001,0.0
하선정,20,1,20,0.0001,1.0
CallLoan,19,1,0,0.0001,0.0
에스프로젝트더블유,18,1,0,0.0001,0.0
케이비에이치엘,18,1,0,0.0001,0.0
GRC,17,1,0,0.0001,0.0
신한더존위하고제일차,17,1,10,0.0001,1.7
에스타이거게임즈,17,1,0,0.0001,0.0
인도네시아전력청,17,1,0,0.0001,0.0
지아이비대명제일차,17,1,0,0.0001,0.0
지아이비홈플러스,17,1,0,0.0001,0.0
관리직,16,1,0,0.0001,0.0
신한에스러셀,16,1,9,0.0001,1.78
에스리디파인제삼차,16,1,0,0.0001,0.0
에스퍼스트제일차,14,1,0,0.0001,0.0
에쓰오일,14,1,0,0.0001,0.0
외곽지,14,1,0,0.0001,0.0
주디,14,1,0,0.0001,0.0
명단,13,1,3,0.0001,4.33
주식회사더블유,13,1,13,0.0001,1.0
케이비프라임,13,1,13,0.0001,1.0
디큐브공간제일차,12,1,4,0.0001,3.0
오시리아파크제삼차,12,1,0,0.0001,0.0
고양장항제일차,11,1,5,0.0001,2.2
매직카대,11,1,0,0.0001,0.0
불두제일차,11,1,0,0.0001,0.0
신한히어로수유제이차,11,1,5,0.0001,2.2
아인슈타인,11,1,0,0.0001,0.0
에스타이거엔엠,11,1,0,0.0001,0.0
와이지스텔라,11,2,11,0.0001,1.0
KRWGBP,10,1,0,0.0001,0.0
USDEUR,10,1,0,0.0001,0.0
주바,10,1,0,0.0001,0.0
주식회사위버스컴퍼니,9,1,0,0.0001,0.0
億個,8,1,0,0.0,0.0
百万個,8,1,0,0.0,0.0
무저해지,8,1,0,0.0,0.0
와이지인피니티,8,1,8,0.0,1.0
주필,8,2,0,0.0,0.0
주우리,7,1,0,0.0,0.0
UTCSports,6,1,0,0.0,0.0
지아이비이엠티,6,1,0,0.0,0.0
지아이비캡스,5,1,0,0.0,0.0
Intraday,4,1,0,0.0,0.0
신한디스플레이제삼차,4,1,0,0.0,0.0
WooriZip,2,2,2,0.0,1.0
신한수,2,1,0,0.0,0.0
프론티어랩스펀드,2,1,2,0.0,1.0
SolarLLC,1,2,0,0.0,0.0
주식회사스타필드,1,1,0,0.0,0.0
APBOND,0,1,0,0.0,0.0
APSolar,0,1,0,0.0,0.0
AirInc,0,1,0,0.0,0.0
AllianzSE,0,1,0,0.0,0.0
CDGBNS,0,1,0,0.0,0.0
CDGMRP,0,1,0,0.0,0.0
CEOCTO,0,1,0,0.0,0.0
CFUNDSubfund,0,4,0,0.0,0.0
CJAMERICAINC,0,1,0,0.0,0.0
CJCHINALTD,0,1,0,0.0,0.0
CJEUROPEGMBH,0,1,0,0.0,0.0
CLEANSPC,0,1,0,0.0,0.0
CapitalLLC,0,1,0,0.0,0.0
EPCGPInc,0,2,0,0.0,0.0
EUREUR,0,1,0,0.0,0.0
FXSwap,0,1,0,0.0,0.0
GUSIM,0,1,0,0.0,0.0
HANHOH,0,1,0,0.0,0.0
HECIHelios,0,9,0,0.0,0.0
HMGDaaS,0,1,0,0.0,0.0
HMMAMERICAINC,0,1,0,0.0,0.0
HMMCHINACOLTD,0,1,0,0.0,0.0
HanHoH,0,1,0,0.0,0.0
INRINR,0,1,0,0.0,0.0
IPUKLimited,0,1,0,0.0,0.0
Inhouse,0,1,0,0.0,0.0
JVMEUROPE,0,1,0,0.0,0.0
KBEasy,0,2,0,0.0,0.0
KBGPI,0,1,0,0.0,0.0
KBNEW,0,1,0,0.0,0.0
KBPOST,0,1,0,0.0,0.0
KBSOHO,0,1,0,0.0,0.0
KBSTARCLUB,0,1,0,0.0,0.0
KBStar,0,1,0,0.0,0.0
KBTWO,0,1,0,0.0,0.0
KBWELCOME,0,1,0,0.0,0.0
KBWISE,0,2,0,0.0,0.0
KBYoungYouth,0,1,0,0.0,0.0
KBable,0,6,0,0.0,0.0
KBablePlus,0,1,0,0.0,0.0
KBeplus,0,1,0,0.0,0.0
KCLNGTech,0,1,0,0.0,0.0
KRWAUD,0,1,0,0.0,0.0
KRWSGD,0,1,0,0.0,0.0
KTBKORUS,0,1,0,0.0,0.0
KTIBKC,0,1,0,0.0,0.0
KoreaITFund,0,1,0,0.0,0.0
LNGAREA,0,1,0,0.0,0.0
LTEUSIM,0,1,0,0.0,0.0
LazyUSolar,0,2,0,0.0,0.0
MEXLLC,0,1,0,0.0,0.0
MetalScrap,0,1,0,0.0,0.0
MotionalADLLC,0,1,0,0.0,0.0
NEHK,0,1,0,0.0,0.0
NghiSon,0,1,0,0.0,0.0
NonPar,0,1,0,0.0,0.0
OCIALAMO,0,2,0,0.0,0.0
OCIGlobalLtd,0,1,0,0.0,0.0
OCIMSdnBhd,0,2,0,0.0,0.0
ONEKB,0,2,0,0.0,0.0
PGDIX,0,2,0,0.0,0.0
PGZIPLLC,0,1,0,0.0,0.0
PROJECTSLLC,0,1,0,0.0,0.0
PTPLN,0,1,0,0.0,0.0
PTYLTD,0,1,0,0.0,0.0
PutOption,0,1,0,0.0,0.0
SCBANK,0,1,0,0.0,0.0
SLSLU,0,1,0,0.0,0.0
SREK,0,1,0,0.0,0.0
SRENK,0,1,0,0.0,0.0
SSIHolding,0,1,0,0.0,0.0
STEELPLATE,0,1,0,0.0,0.0
ShoaibaROPh,0,1,0,0.0,0.0
SongHau,0,1,0,0.0,0.0
Spzoo,0,1,0,0.0,0.0
StepUp,0,1,0,0.0,0.0
Stepup,0,3,0,0.0,0.0
TJyr,0,1,0,0.0,0.0
TermLoan,0,1,0,0.0,0.0
ThievesInc,0,1,0,0.0,0.0
UAEBNPP,0,2,0,0.0,0.0
USDUSD,0,1,0,0.0,0.0
UpVenturesLP,0,1,0,0.0,0.0
VIETCOLTD,0,1,0,0.0,0.0
VanPhong,0,1,0,0.0,0.0
VinhTan,0,1,0,0.0,0.0
WooriZIP,0,2,0,0.0,0.0
Yanbuph,0,1,0,0.0,0.0
eplus,0,1,0,0.0,0.0
icorporation,0,1,0,0.0,0.0
경기네오플럭스,0,1,0,0.0,0.0
곽신홀딩스주구한미컴퍼니,0,1,0,0.0,0.0
기초리스부채,0,1,0,0.0,0.0
기초이연대출부대,0,1,0,0.0,0.0
네트웍스서비스주,0,1,0,0.0,0.0
네트웍스주,0,1,0,0.0,0.0
농업회사법인주오설록,0,1,0,0.0,0.0
다계좌해외당발,0,1,0,0.0,0.0
데브크래프톤,0,1,0,0.0,0.0
라구나유니콘플러스펀드,0,1,0,0.0,0.0
매직주,0,1,0,0.0,0.0
메리츠수성글로벌바이오,0,1,0,0.0,0.0
쉴더스주,0,1,0,0.0,0.0
스파크랩신한오퍼튜니티,0,1,0,0.0,0.0
신규리스비,0,1,0,0.0,0.0
신한네오,0,1,0,0.0,0.0
신한알바트로스,0,1,0,0.0,0.0
신한엔베스터,0,1,0,0.0,0.0
싱가폴테콩,0,1,0,0.0,0.0
아시아중국,0,1,0,0.0,0.0
에스티센텀신기술조합,0,1,0,0.0,0.0
