part,part_df,n_owner,owner_max_df,share,vs_owner
지현,1564,1,35,0.0091,44.69
삼성증권,1562,1,0,0.0091,0.0
스포츠,1561,1,7,0.0091,223.0
PG,1558,3,0,0.0091,0.0
대원,1558,1,45,0.0091,34.62
주거,1554,3,30,0.0091,51.8
한미,1554,2,251,0.0091,6.19
평택,1552,3,138,0.009,11.25
리조트,1550,2,0,0.009,0.0
ETF,1549,8,85,0.009,18.22
단독,1549,2,309,0.009,5.01
인플레이션,1549,1,0,0.009,0.0
폐지,1549,1,0,0.009,0.0
우리금융,1524,6,759,0.0089,2.01
증설,1522,2,89,0.0089,17.1
상주,1514,1,0,0.0088,0.0
골드,1511,5,53,0.0088,28.51
부가세,1511,10,424,0.0088,3.56
일수,1502,3,0,0.0088,0.0
소모품,1501,8,1089,0.0087,1.38
신축,1500,3,19,0.0087,78.95
나라,1498,3,24,0.0087,62.42
안성,1494,3,0,0.0087,0.0
오염,1494,1,0,0.0087,0.0
컨테이너,1494,2,0,0.0087,0.0
협상,1492,1,90,0.0087,16.58
이정,1488,1,60,0.0087,24.8
구동,1487,1,39,0.0087,38.13
용품,1487,3,721,0.0087,2.06
정원,1487,1,53,0.0087,28.06
타임,1479,1,79,0.0086,18.72
출재,1476,5,476,0.0086,3.1
접수,1474,1,5,0.0086,294.8
금융사,1470,1,0,0.0086,0.0
이마트,1469,1,10,0.0086,146.9
IBK,1467,1,0,0.0086,0.0
한영,1466,1,40,0.0085,36.65
세컨더리,1462,1,0,0.0085,0.0
양주,1459,2,52,0.0085,28.06
전담,1459,2,16,0.0085,91.19
리테일,1458,1,0,0.0085,0.0
한국예탁결제원,1457,1,0,0.0085,0.0
잔고,1454,1,57,0.0085,25.51
개편,1450,1,0,0.0085,0.0
생태,1448,1,0,0.0084,0.0
레저,1443,3,221,0.0084,6.53
롯데,1442,2,128,0.0084,11.27
강원,1437,2,9,0.0084,159.67
공연,1435,3,91,0.0084,15.77
월드,1429,1,42,0.0083,34.02
BNP,1428,2,5,0.0083,285.6
불입,1423,3,990,0.0083,1.44
사옥,1423,2,0,0.0083,0.0
충남,1422,1,11,0.0083,129.27
장해,1415,2,0,0.0082,0.0
eq,1414,2,0,0.0082,0.0
임팩트,1411,7,358,0.0082,3.94
파생결합증권,1411,1,27,0.0082,52.26
블록,1410,1,15,0.0082,94.0
여력,1409,8,542,0.0082,2.6
유니콘,1408,1,9,0.0082,156.44
현대제철,1405,1,17,0.0082,82.65
조회,1403,3,476,0.0082,2.95
행복,1402,4,24,0.0082,58.42
규칙,1400,1,0,0.0082,0.0
기체,1399,1,95,0.0082,14.73
신탁업,1393,1,0,0.0081,0.0
사용량,1391,4,314,0.0081,4.43
대용,1385,1,137,0.0081,10.11
이화,1384,1,103,0.0081,13.44
원주,1383,4,0,0.0081,0.0
핀테크,1383,1,0,0.0081,0.0
쇼핑,1382,1,14,0.0081,98.71
트레이딩,1381,4,115,0.008,12.01
경비,1378,7,309,0.008,4.46
스마트폰,1377,1,0,0.008,0.0
해운,1375,1,26,0.008,52.88
상정,1373,1,29,0.008,47.34
선호,1373,1,125,0.008,10.98
임대업,1373,2,262,0.008,5.24
